category_name,product_name,brand,product_url,price,review_count,review_date,review_text
도시락·밥류,간편 미식 덮밥 도시락 4종 (택1),온더고,https://www.kurly.com/goods/5135831,5980,54399,2025.07.09,"간단하게 한 끼, 비빔밥 좋아요!
소고기 비빔밥에 다양한 채소와 달걀 후라이까지 모두 들어있어요. 영양소적인 면에서도 좋고 고소하고 맛있네요. 
비빔밥의 양념장이 고추장 베이스니까 많이 맵진 않더라도 아이들에게 줄 때에는 양념장을 조금 덜어내도 될 것 같아요. 가운데 부분에 있으니까 덜어내기 쉬워요.
양도 딱 적당하고 전자레인지에서 뚜껑 비닐 벗기지 않고도 골고루 잘 데워져서 먹기 좋았어요. 
온더고 다른 시리즈들도 맛있는데 소고기 비빔밥이 손이 먼저 가네요. 기대했던대로 맛있었어요. 
간단한 도시락이나 냉동실 비상 식량으로 추천합니다."
도시락·밥류,간편 미식 덮밥 도시락 4종 (택1),온더고,https://www.kurly.com/goods/5135831,5980,54399,2025.04.15,"후기 귀찮아서 이렇게 까지 안쓰는데 진짜 맛있어요! 
일반 컵밥같은거랑 비교도 안될정도로 풍성합니다 물론 가격 차이가 있겠지만 아무튼 귀차니즘이나 자취생들에게는 외식이나 컵밥, 라면 보다 최고에요
레토르트 맛에 되게 민감?한 편인데 1도 안나고 그냥 집밥 얼려둔거 해동해 먹는맛
조리도 전자렌지에 툭 넣고 뚜껑만 뜯어 먹으면 되니까 편해요 특히 비빔밥이 나물도 많고 소고기 다진것도 씹히고 양념도 맛있고 양도 많고 짜지 않아서 너무 좋더라고 진짜 집밥 먹는 기분 오징어 제육덮밥도 고기나 오징어 야채가 큼지막하게 많이 들어가 있어서 좋아요 
밥해먹기 귀찮은날 한번씩 먹고있는데 다 먹으면 다른 것도 먹어볼게요"
도시락·밥류,간편 미식 덮밥 도시락 4종 (택1),온더고,https://www.kurly.com/goods/5135831,5980,54399,2025.02.13,"요즘 물가가 너무 비싸 점심식사라도 아껴보려고 친구에게 추천받아 구매해봤습니다~
1) 돈까스카레는 에어프라이기가 아니라 바삭하진 않지만 푸짐한 양과 맛있는 카레의 조화가 좋았고,
2) 불고기카레는 모짜렐라 치즈가 들어있어 더 맛있고 중독성있었어요. 제가 카레를 많이 좋아하긴 합니다~
3) 전주비빔밥은 모든것이 다 들어있고 계란후라이가 들어있으니 너무 맛있고 푸짐했습니다. 한끼 식사로 너무 좋아요,,
3) 김치제육은 매콤한맛이라 중간중간 느끼할 때 먹어주면 너무 좋을만큼 맛있었어요!
특히 김치가 맛있었습니다.
별다른거 없이 전자레인지에 돌려주기만 하면 되니 너무 간편하고 보관하기도 좋았어요~
재구매 하려 합니다~"
도시락·밥류,간편 미식 덮밥 도시락 4종 (택1),온더고,https://www.kurly.com/goods/5135831,5980,54399,2025.09.23,맛있어요   푸짐해요
도시락·밥류,간편 미식 덮밥 도시락 4종 (택1),온더고,https://www.kurly.com/goods/5135831,5980,54399,2025.09.23,맛있고 간편해요~ 재구매할거예요
도시락·밥류,간편 미식 덮밥 도시락 4종 (택1),온더고,https://www.kurly.com/goods/5135831,5980,54399,2025.09.23,오 맛있고 간편해서 짱이예요
도시락·밥류,간편 미식 덮밥 도시락 4종 (택1),온더고,https://www.kurly.com/goods/5135831,5980,54399,2025.09.23,렌지에 돌리기만하면 되니까 편리하고 맛도 있어요~
도시락·밥류,간편 미식 덮밥 도시락 4종 (택1),온더고,https://www.kurly.com/goods/5135831,5980,54399,2025.09.23,직장생활하는 주부라서 간편식 주문했는데 아이 혼자 있을 때  렌지에 돌리기만하면 되니까 편리하고 맛도 있어요~
도시락·밥류,간편 미식 덮밥 도시락 4종 (택1),온더고,https://www.kurly.com/goods/5135831,5980,54399,2025.09.23,"맛있어요.
소식좌라 양이 적당해요"
도시락·밥류,간편 미식 덮밥 도시락 4종 (택1),온더고,https://www.kurly.com/goods/5135831,5980,54399,2025.09.22,냉동도시락이지민~  온더고는 맛있어요
도시락·밥류,[제일맞게컬리] 현미곤약 주먹밥 3종 (택1),2개 사면 33%,https://www.kurly.com/goods/1001191650,5980,4371,2025.08.07,"몇번째 재구매하는 제품입니다.
저희집에서는 종류별로 삼각김밥을 구입해서 냉동실에 쟁여두고 있어요 
출근길 등원길 외출길에 준비가 안되어있을때마다 너무 잘 이용하고 있거든요

그러던중 삼각김밥이지만 조금은 다이어트에 도움이 되고싶은 마음에 
(365일 다이어트중이라...)
cj와 컬리의 합작품인 현미곤약주먹밥을 구입했는데
여러가지 시리지중에서 김치베이컨이 저희집에서 제일 인기가 많네요 
저도 그렇지만 초등아이도 좋아하는 맛이에요 

사실 맛은 좋은데 간편한음식은 많이 없잖아요
그치만 김치베이컨 현미곤약 주먹밥은 맛도 좋고 간편해요 
특히 곤약때문에 톡톡터지는 식감때문에 재밋게 먹을 수 있네요

살짝 매콤하지만 충분히 초등고학년 아이도 먹을 수 있는 매움이에요
하나먹는다고 배부름은 아니지만 
바쁜일상에 가볍게 한끼로 추천합니다

칼로리 155kcl
전자레인지1:30~2분정도 돌리면 완성"
